Game, Date, PlayerID, GroupID, Time, Puzzle, Win, NumClicks, RegTime, DisplayTime, HintOn, NumHints, HintTime, Var1, Var2, Var3
32874,2026-03-26 13:37:29,Diego,DOEFJ26202,199.016,House of Tangrams,1,77,0,1,1,0,0,,,
32903,2026-03-26 13:46:45,max,DOEFJ26202,43.212,House of Tangrams,1,43,0,1,1,0,0,,,
32902,2026-03-26 13:45:53,FedericoZer,DOEFJ26202,147.249,House of Tangrams,1,90,0,1,1,0,0,,,
32875,2026-03-26 13:37:40,LuisR,DOEFJ26202,203.682,House of Tangrams,1,102,0,1,1,0,0,H,,
32899,2026-03-26 13:45:14,AlexanderE,DOEFJ26202,90.2149,House of Tangrams,1,66,0,1,1,0,0,,,
32873,2026-03-26 13:37:07,RODOLFOPONT,DOEFJ26202,213.988,House of Tangrams,1,98,0,1,1,0,0,,,
32897,2026-03-26 13:44:51,Kiara,DOEFJ26202,74.2603,House of Tangrams,1,53,0,1,1,0,0,,,
32896,2026-03-26 13:44:28,Walsh,DOEFJ26202,52.1218,House of Tangrams,1,33,0,1,0,0,0,,,
32895,2026-03-26 13:44:18,LuisMorales,DOEFJ26202,45.2861,House of Tangrams,1,41,0,1,1,0,0,,,
32894,2026-03-26 13:44:14,Alejandro,DOEFJ26202,42.1036,House of Tangrams,1,37,0,1,1,0,0,,,
32893,2026-03-26 13:44:14,JehuLara,DOEFJ26202,39.2208,House of Tangrams,1,33,0,1,1,0,0,,,
